time,mousex,mousey,inittarget,harvtarget,intrial,targetx,targety,blockvar
11795,724,597,1,0,1,720,400,1
11817,725,598,1,0,1,720,400,1
11827,725,599,1,0,1,720,400,1
11843,725,601,1,0,1,720,400,1
11856,725,601,1,0,1,720,400,1
11869,725,601,1,0,1,720,400,1
11882,725,601,1,0,1,720,400,1
11896,725,601,1,0,1,720,400,1
11909,725,601,1,0,1,720,400,1
11922,725,601,1,0,1,720,400,1
11937,725,601,1,0,1,720,400,1
11949,725,601,1,0,1,720,400,1
11961,725,601,1,0,1,720,400,1
11975,725,601,1,0,1,720,400,1
11988,725,601,1,0,1,720,400,1
12000,725,601,1,0,1,720,400,1
12015,725,601,1,0,1,720,400,1
12029,725,601,1,0,1,720,400,1
12043,725,601,1,0,1,720,400,1
12056,725,601,1,0,1,720,400,1
12070,725,601,1,0,1,720,400,1
12083,725,601,1,0,1,720,400,1
12096,725,601,1,0,1,720,400,1
12108,725,601,1,0,1,720,400,1
12123,725,601,1,0,1,720,400,1
12137,725,601,1,0,1,720,400,1
12149,725,601,1,0,1,720,400,1
12162,725,601,1,0,1,720,400,1
12176,725,601,1,0,1,720,400,1
12189,725,601,1,0,1,720,400,1
12201,725,601,1,0,1,720,400,1
12216,725,601,1,0,1,720,400,1
12230,725,601,1,0,1,720,400,1
12243,725,601,1,0,1,720,400,1
12256,725,601,1,0,1,720,400,1
12269,725,601,1,0,1,720,400,1
12282,725,601,1,0,1,720,400,1
12296,725,601,1,0,1,720,400,1
12310,725,601,1,0,1,720,400,1
12723,725,601,1,0,0,720,400,0
12736,725,601,1,0,0,720,400,0
12750,725,601,1,0,0,720,400,0
12764,725,601,1,0,0,720,400,0
12775,725,601,1,0,0,720,400,0
12789,725,601,1,0,0,720,400,0
12801,725,601,1,0,0,720,400,0
12815,725,601,1,0,0,720,400,0
12830,725,601,1,0,0,720,400,0
12843,725,601,1,0,0,720,400,0
12856,725,601,1,0,0,720,400,0
12868,725,601,1,0,0,720,400,0
12881,725,601,1,0,0,720,400,0
12896,725,601,1,0,0,720,400,0
12910,725,601,1,0,0,720,400,0
12922,725,601,1,0,0,720,400,0
12936,725,601,1,0,0,720,400,0
12950,725,601,1,0,0,720,400,0
12963,725,601,1,0,0,720,400,0
12976,725,601,1,0,0,720,400,0
12990,725,601,1,0,0,720,400,0
13003,725,601,1,0,0,720,400,0
13017,725,601,1,0,0,720,400,0
13029,725,601,1,0,0,720,400,0
13042,725,601,1,0,0,720,400,0
13055,725,601,1,0,0,720,400,0
13070,725,601,1,0,0,720,400,0
13084,725,601,1,0,0,720,400,0
13096,725,601,1,0,0,720,400,0
13111,725,601,1,0,0,720,400,0
13122,725,601,1,0,0,720,400,0
13136,725,601,1,0,0,720,400,0
13151,725,601,1,0,0,720,400,0
13162,725,601,1,0,0,720,400,0
13178,725,601,1,0,0,720,400,0
13190,725,601,1,0,0,720,400,0
13205,725,601,1,0,0,720,400,0
13219,725,601,1,0,0,720,400,0
13233,725,601,1,0,0,720,400,0
13247,725,601,1,0,0,720,400,0
13259,725,601,1,0,0,720,400,0
13273,725,601,1,0,0,720,400,0
13288,725,601,1,0,0,720,400,0
13301,725,601,1,0,0,720,400,0
13314,725,601,1,0,0,720,400,0
13327,725,601,1,0,0,720,400,0
13340,725,601,1,0,0,720,400,0
13354,725,601,1,0,0,720,400,0
13368,725,601,1,0,0,720,400,0
13381,725,601,1,0,0,720,400,0
13394,725,601,1,0,0,720,400,0
13407,725,601,1,0,0,720,400,0
13421,725,601,1,0,0,720,400,0
13435,725,601,1,0,0,720,400,0
13448,725,601,1,0,0,720,400,0
13463,725,601,1,0,0,720,400,0
13476,725,601,1,0,0,720,400,0
13489,725,601,1,0,0,720,400,0
13503,725,601,1,0,0,720,400,0
13515,725,601,1,0,0,720,400,0
13530,725,601,1,0,0,720,400,0
13542,725,601,1,0,0,720,400,0
13555,725,601,1,0,0,720,400,0
13568,725,601,1,0,0,720,400,0
13582,725,601,1,0,0,720,400,0
13596,725,601,1,0,0,720,400,0
13608,725,601,1,0,0,720,400,0
13622,725,601,1,0,0,720,400,0
13635,725,601,1,0,0,720,400,0
13650,725,601,1,0,0,720,400,0
13662,725,601,1,0,0,720,400,0
13674,725,601,1,0,0,720,400,0
13688,725,601,1,0,0,720,400,0
13701,725,601,1,0,0,720,400,0
13715,725,601,1,0,0,720,400,0
13730,725,601,1,0,0,720,400,0
13743,725,601,1,0,0,720,400,0
13756,725,601,1,0,0,720,400,0
13770,725,601,1,0,0,720,400,0
13783,725,601,1,0,0,720,400,0
13796,725,601,1,0,0,720,400,0
13808,725,601,1,0,0,720,400,0
13822,725,601,1,0,0,720,400,0
13836,725,601,1,0,0,720,400,0
13850,725,601,1,0,0,720,400,0
13864,725,601,1,0,0,720,400,0
13874,725,601,1,0,0,720,400,0
13888,725,601,1,0,0,720,400,0
13902,725,601,1,0,0,720,400,0
13915,725,601,1,0,0,720,400,0
13930,725,601,1,0,0,720,400,0
13943,725,601,1,0,0,720,400,0
13955,725,601,1,0,0,720,400,0
13968,725,601,1,0,0,720,400,0
13982,725,601,1,0,0,720,400,0
13995,725,601,1,0,0,720,400,0
14007,725,601,1,0,0,720,400,0
14022,725,601,1,0,0,720,400,0
14038,725,601,1,0,0,720,400,0
